ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Courier_ID
9450,F,Flight,5,2,221,5,medium,M,10,1160,0,Courier_1
9451,D,Flight,7,4,296,4,low,F,10,1033,0,Courier_2
9452,F,Flight,5,3,228,5,high,M,9,1924,0,Courier_1
9453,A,Flight,4,4,275,5,medium,M,7,1562,1,Courier_3
9454,B,Flight,5,3,230,5,medium,M,4,1123,0,Courier_4
9455,C,Flight,5,1,241,5,medium,M,3,1379,0,Courier_3
9456,F,Flight,4,2,270,5,low,F,5,1747,1,Courier_2
9457,D,Flight,6,4,264,5,medium,F,7,1220,1,Courier_1
9458,F,Flight,4,4,260,5,low,F,5,1178,1,Courier_2
9459,A,Flight,5,1,271,5,low,M,4,1353,0,Courier_3
9460,B,Flight,5,5,286,4,high,F,10,1071,1,Courier_2
9461,C,Flight,6,1,279,4,low,F,4,1263,1,Courier_5
9462,F,Flight,6,3,271,4,low,F,6,1934,0,Courier_3
9463,D,Flight,3,5,206,4,low,M,6,5038,0,Courier_2
9464,F,Flight,5,2,205,3,medium,F,1,4351,0,Courier_1
9465,A,Flight,5,2,233,3,medium,F,10,4233,1,Courier_2
9466,B,Flight,5,1,207,3,low,F,1,4112,0,Courier_1
9467,C,Flight,4,1,174,4,low,M,3,5295,0,Courier_5
9468,F,Flight,3,4,191,3,medium,F,10,4667,0,Courier_2
9469,D,Flight,4,4,156,2,medium,F,7,5938,0,Courier_5
9470,F,Flight,4,4,137,3,medium,F,8,4066,1,Courier_3
9471,A,Ship,3,3,251,3,low,M,8,4246,0,Courier_1
9472,B,Ship,5,3,194,3,low,M,7,5545,0,Courier_3
9473,C,Ship,4,1,141,3,low,F,6,5273,0,Courier_1
9474,F,Ship,5,1,137,3,medium,F,10,4641,0,Courier_5
9475,D,Ship,3,1,221,3,medium,M,10,5696,1,Courier_4
9476,F,Ship,3,1,270,2,medium,M,6,4966,0,Courier_2
9477,A,Ship,3,3,133,3,low,F,2,4926,0,Courier_5
9478,B,Ship,4,4,181,3,medium,F,9,4425,1,Courier_1
9479,C,Ship,6,4,147,3,low,M,4,4549,1,Courier_1
9480,F,Ship,4,3,250,2,high,F,10,4885,1,Courier_1
9481,D,Ship,3,5,184,2,high,M,3,4883,0,Courier_1
9482,F,Ship,5,1,234,3,low,F,4,5033,0,Courier_2
9483,A,Ship,3,3,126,6,low,M,8,5084,1,Courier_3
9484,B,Ship,3,2,241,3,medium,F,9,4301,0,Courier_4
9485,C,Ship,3,5,218,2,medium,F,6,4072,0,Courier_2
9486,F,Ship,3,5,98,3,medium,F,3,5553,1,Courier_1
9487,D,Ship,3,5,211,2,medium,F,9,4577,1,Courier_2
9488,F,Ship,4,2,216,3,low,M,2,4750,1,Courier_5
9489,A,Ship,3,3,203,3,medium,F,4,5548,0,Courier_1
9490,B,Ship,3,4,266,3,medium,M,9,5908,1,Courier_4
9491,C,Ship,4,1,155,3,medium,M,9,4443,0,Courier_1
9492,F,Ship,3,5,156,2,medium,F,8,5848,0,Courier_4
9493,D,Ship,5,2,169,5,medium,F,2,4542,0,Courier_4
9494,F,Ship,4,5,241,4,medium,F,10,4126,1,Courier_3
9495,A,Ship,4,5,199,4,medium,M,1,5585,1,Courier_3
9496,B,Ship,4,3,184,3,low,F,9,5602,0,Courier_2
9497,C,Ship,3,3,221,3,low,F,5,4388,0,Courier_2
9498,F,Ship,4,3,258,3,medium,F,7,4887,1,Courier_4
9499,D,Ship,5,4,193,3,medium,M,3,4559,0,Courier_1
9500,F,Ship,2,2,156,4,high,M,9,4184,1,Courier_5
9501,A,Ship,4,2,201,3,medium,F,4,4613,0,Courier_5
9502,B,Ship,4,2,171,3,medium,M,4,5859,0,Courier_1
9503,C,Ship,3,4,193,6,low,M,2,5584,0,Courier_1
9504,F,Ship,5,2,254,2,medium,M,4,4180,1,Courier_3
9505,D,Ship,4,4,251,3,medium,F,9,5350,1,Courier_5
9506,F,Ship,5,3,171,3,low,F,7,4946,0,Courier_4
9507,A,Ship,4,1,243,3,medium,M,10,5832,0,Courier_2
9508,B,Ship,3,4,253,3,medium,M,4,4269,0,Courier_3
9509,C,Ship,3,5,137,3,low,M,3,5497,1,Courier_5
9510,F,Ship,5,2,149,2,low,F,6,4661,0,Courier_1
9511,D,Ship,4,1,183,3,low,M,3,5178,1,Courier_5
9512,F,Ship,4,5,171,3,low,F,10,4752,1,Courier_4
9513,A,Ship,4,5,102,5,low,F,3,5767,0,Courier_3
9514,B,Ship,3,3,249,4,low,M,7,5868,1,Courier_1
9515,C,Ship,3,4,255,3,medium,F,10,5291,1,Courier_4
9516,F,Ship,3,1,150,2,low,F,6,5697,0,Courier_2
9517,D,Ship,4,4,169,4,medium,F,8,5493,0,Courier_3
9518,F,Ship,4,1,208,3,medium,F,8,4890,1,Courier_4
9519,A,Ship,3,3,154,4,high,F,2,4921,1,Courier_4
9520,B,Ship,2,2,101,5,medium,F,6,4196,0,Courier_1
9521,C,Ship,5,1,203,3,low,M,10,4750,0,Courier_2
9522,F,Ship,5,3,234,6,medium,F,8,5003,0,Courier_4
9523,D,Ship,3,1,133,4,medium,F,6,5162,0,Courier_3
9524,F,Ship,3,3,222,4,low,F,6,5284,1,Courier_4
9525,A,Ship,3,5,258,3,low,F,5,4494,0,Courier_5
9526,B,Ship,3,5,251,3,low,M,1,5073,0,Courier_3
9527,C,Ship,4,2,241,6,medium,M,5,4880,1,Courier_3
9528,F,Ship,4,1,164,4,medium,M,3,5318,1,Courier_4
9529,D,Ship,5,4,273,2,low,F,1,5008,1,Courier_1
9530,F,Ship,3,1,266,3,low,M,6,4010,0,Courier_3
9531,A,Ship,4,2,144,5,low,F,3,5807,1,Courier_5
9532,B,Ship,2,1,208,2,low,M,10,4671,1,Courier_1
9533,C,Ship,2,4,178,4,medium,F,8,4620,0,Courier_1
9534,F,Ship,3,3,246,4,low,F,3,4316,0,Courier_1
9535,D,Ship,3,1,131,6,medium,M,8,5352,0,Courier_3
9536,F,Ship,2,2,156,3,low,F,5,4151,1,Courier_1
9537,A,Ship,3,2,222,4,medium,M,10,5720,0,Courier_4
9538,B,Ship,3,3,275,3,medium,M,7,4968,0,Courier_1
9539,C,Ship,3,2,212,3,medium,M,10,4117,0,Courier_5
9540,F,Ship,5,4,275,2,medium,M,7,5292,0,Courier_2
9541,D,Ship,5,1,189,2,medium,M,8,5219,0,Courier_5
9542,F,Ship,3,4,171,3,low,M,10,4839,0,Courier_3
9543,A,Ship,3,1,242,5,low,F,3,4026,0,Courier_1
9544,B,Ship,3,5,247,3,medium,F,7,4966,0,Courier_1
9545,C,Ship,3,3,149,2,low,M,8,4556,0,Courier_4
9546,F,Ship,3,3,190,3,low,F,9,5279,0,Courier_1
9547,D,Ship,3,2,189,2,low,M,6,4488,1,Courier_5
9548,F,Ship,3,2,153,4,high,M,7,4750,1,Courier_3
9549,A,Ship,4,1,173,2,low,M,5,4688,0,Courier_2
9550,B,Ship,5,3,117,4,low,F,3,5078,0,Courier_1
9551,C,Ship,6,5,204,3,medium,M,7,4119,0,Courier_2
9552,F,Ship,3,1,274,4,low,M,3,5979,0,Courier_1
9553,D,Ship,6,1,276,2,low,M,10,5108,0,Courier_3
9554,F,Ship,3,1,189,4,low,F,4,4785,0,Courier_5
9555,A,Ship,3,2,204,2,low,F,2,5033,1,Courier_3
9556,B,Ship,3,3,229,3,medium,F,8,4549,0,Courier_2
9557,C,Ship,3,1,257,2,medium,F,2,5815,0,Courier_1
9558,F,Ship,4,5,184,3,low,M,5,4039,1,Courier_2
9559,D,Ship,3,5,157,4,medium,F,2,4640,0,Courier_5
9560,F,Ship,4,3,173,3,medium,M,5,5331,1,Courier_3
9561,A,Ship,3,2,236,2,medium,M,2,4239,1,Courier_2
9562,B,Ship,4,1,234,3,low,M,2,4282,0,Courier_2
9563,C,Ship,4,4,237,3,medium,M,2,4760,0,Courier_5
9564,F,Road,4,5,191,2,low,M,10,5068,1,Courier_1
9565,D,Road,4,4,222,3,medium,M,2,5140,0,Courier_2
9566,F,Road,4,4,153,2,low,F,8,4248,0,Courier_5
9567,A,Road,4,1,224,2,medium,M,2,4581,1,Courier_1
9568,B,Road,5,4,201,2,low,M,5,5593,1,Courier_1
9569,C,Road,4,2,169,3,low,M,10,4309,1,Courier_3
9570,F,Road,3,2,133,5,medium,M,9,5744,1,Courier_5
9571,D,Road,4,4,146,2,medium,F,5,4356,0,Courier_1
9572,F,Road,4,1,230,3,low,M,8,4107,1,Courier_3
9573,A,Road,3,1,195,5,low,F,4,4034,0,Courier_4
9574,B,Road,4,4,204,3,low,F,9,4757,0,Courier_5
9575,C,Road,6,2,191,6,medium,M,7,5333,1,Courier_4
9576,F,Road,5,5,199,3,high,M,6,5547,1,Courier_1
9577,D,Road,3,4,192,4,medium,M,3,4030,0,Courier_5
9578,F,Road,3,1,187,2,low,F,10,5064,1,Courier_3
9579,A,Road,3,1,236,3,medium,F,8,5341,1,Courier_1
9580,B,Road,4,5,176,3,high,F,1,5096,1,Courier_5
9581,C,Road,6,2,239,4,medium,F,7,4589,0,Courier_5
9582,F,Road,4,4,280,3,medium,M,5,5624,0,Courier_4
9583,D,Road,5,5,184,2,medium,M,9,4649,1,Courier_1
9584,F,Road,3,2,145,2,low,M,3,4409,0,Courier_3
9585,A,Road,6,5,248,3,low,F,3,5709,1,Courier_3
9586,B,Flight,2,4,184,5,medium,M,9,5812,0,Courier_1
9587,C,Flight,4,5,265,2,low,M,9,5040,0,Courier_1
9588,F,Flight,5,1,170,4,medium,M,4,5113,1,Courier_2
9589,D,Flight,2,1,181,4,low,F,2,4747,0,Courier_4
9590,F,Flight,3,4,166,4,low,F,1,5533,1,Courier_1
9591,A,Flight,4,4,137,4,medium,F,5,5095,0,Courier_1
9592,B,Flight,4,1,173,5,low,F,5,5049,1,Courier_2
9593,C,Flight,4,3,249,4,medium,M,10,5614,0,Courier_2
9594,F,Flight,5,4,205,3,low,F,3,4157,1,Courier_5
9595,D,Flight,4,5,251,5,high,M,8,4573,0,Courier_3
9596,F,Flight,4,5,249,3,low,F,7,5509,0,Courier_4
9597,A,Flight,4,3,177,3,low,F,7,4834,1,Courier_5
9598,B,Flight,3,5,268,3,low,M,7,4910,0,Courier_1
9599,C,Flight,6,1,215,4,low,M,1,4581,1,Courier_2
9600,F,Flight,4,1,149,3,low,M,2,4499,0,Courier_3
9601,D,Flight,4,4,132,3,medium,F,5,4613,0,Courier_5
9602,F,Flight,3,1,246,3,low,F,10,4707,1,Courier_3
9603,A,Flight,3,4,155,3,medium,M,9,5718,1,Courier_2
9604,B,Flight,5,3,206,2,medium,M,7,4531,1,Courier_5
9605,C,Flight,4,2,134,3,medium,F,1,4064,1,Courier_5
9606,F,Flight,5,2,255,2,medium,M,9,5609,0,Courier_3
9607,D,Flight,3,1,168,4,medium,F,9,5136,0,Courier_2
9608,F,Ship,4,1,140,2,low,M,8,4926,0,Courier_1
9609,A,Ship,5,3,191,3,high,F,6,4244,0,Courier_5
9610,B,Ship,4,3,231,3,medium,F,8,5069,1,Courier_1
9611,C,Ship,3,3,264,2,low,M,2,4350,0,Courier_2
9612,F,Ship,5,3,137,3,low,M,6,5357,0,Courier_5
9613,D,Ship,5,3,170,3,medium,F,4,4446,1,Courier_5
9614,F,Ship,4,4,256,3,low,F,5,5399,0,Courier_1
9615,A,Ship,5,1,176,6,medium,M,9,4839,1,Courier_4
9616,B,Ship,3,2,198,4,low,F,3,4172,1,Courier_1
9617,C,Ship,4,1,272,2,low,M,1,5666,0,Courier_1
9618,F,Ship,4,4,149,3,medium,F,2,4241,1,Courier_4
9619,D,Ship,5,3,192,7,medium,M,10,5976,0,Courier_2
9620,F,Ship,6,5,117,7,medium,M,6,5529,1,Courier_2
9621,A,Ship,2,4,180,2,low,F,6,5579,0,Courier_5
9622,B,Ship,3,2,158,2,medium,F,8,5907,0,Courier_3
9623,C,Ship,5,2,266,10,high,M,9,4784,1,Courier_3
9624,F,Ship,6,3,304,4,low,M,3,1752,1,Courier_5
9625,D,Ship,6,3,244,5,medium,F,1,1847,1,Courier_3
9626,F,Ship,7,4,301,4,low,F,1,1150,0,Courier_1
9627,A,Ship,4,2,275,5,medium,M,5,1900,0,Courier_1
9628,B,Ship,5,5,236,5,low,M,3,1933,1,Courier_4
9629,C,Ship,6,1,286,4,medium,M,10,1177,1,Courier_4
9630,F,Ship,5,5,238,6,low,M,3,1351,0,Courier_5
9631,D,Ship,7,1,300,4,medium,F,10,1148,1,Courier_5
9632,F,Ship,6,4,292,4,medium,M,8,1779,1,Courier_5
9633,A,Ship,5,1,172,2,low,F,9,1723,0,Courier_1
9634,B,Ship,2,4,181,5,medium,F,9,1368,0,Courier_3
9635,C,Ship,7,3,289,4,low,F,3,1037,1,Courier_5
9636,F,Ship,7,3,256,4,medium,M,4,1628,0,Courier_5
9637,D,Ship,4,4,251,5,medium,F,2,1329,1,Courier_1
9638,F,Ship,6,5,245,4,low,M,2,1832,1,Courier_1
9639,A,Ship,4,4,140,2,low,M,6,4703,0,Courier_1
9640,B,Ship,5,4,191,3,high,F,7,4435,1,Courier_3
9641,C,Ship,4,3,231,3,medium,M,8,4991,0,Courier_5
9642,F,Ship,3,2,264,2,low,M,6,5702,1,Courier_2
9643,D,Ship,5,2,137,3,low,F,1,5242,0,Courier_2
9644,F,Ship,5,3,170,3,medium,M,6,5226,0,Courier_5
9645,A,Ship,4,1,256,3,low,M,6,5818,0,Courier_5
9646,B,Ship,5,4,176,6,medium,M,9,4605,0,Courier_5
9647,C,Ship,3,5,198,4,low,F,10,4829,0,Courier_5
9648,F,Ship,4,1,272,2,low,M,2,5022,0,Courier_3
9649,D,Ship,4,3,149,3,medium,F,5,4031,0,Courier_2
9650,F,Ship,5,2,192,7,medium,M,2,4045,1,Courier_4
9651,A,Ship,6,1,117,7,medium,F,4,4211,0,Courier_2
9652,B,Ship,2,4,180,2,low,F,5,4010,1,Courier_2
9653,C,Ship,3,2,158,2,medium,M,9,4881,0,Courier_1
9654,F,Ship,5,5,266,10,high,F,2,5890,0,Courier_5
9655,D,Ship,6,3,304,4,low,M,5,1215,1,Courier_5
9656,F,Ship,6,3,244,5,medium,F,4,1121,1,Courier_5
9657,A,Ship,7,2,301,4,low,M,1,1339,0,Courier_1
9658,B,Ship,4,3,275,5,medium,M,5,1329,0,Courier_3
9659,C,Ship,5,4,236,5,low,M,1,1682,0,Courier_3
9660,F,Ship,6,5,286,4,medium,F,3,1773,1,Courier_4
9661,D,Ship,5,1,238,6,low,F,9,1192,0,Courier_3
9662,F,Ship,7,2,300,4,medium,M,3,1070,1,Courier_3
9663,A,Ship,6,4,292,4,medium,F,1,1372,1,Courier_5
9664,B,Ship,5,2,172,2,low,F,2,1680,0,Courier_2
9665,C,Ship,2,5,181,5,medium,F,5,1043,0,Courier_3
9666,F,Ship,7,5,289,4,low,F,10,1074,1,Courier_3
9667,D,Ship,7,5,256,4,medium,F,2,1396,0,Courier_1
9668,F,Ship,4,5,251,5,medium,F,6,1434,0,Courier_4
9669,A,Ship,6,4,279,4,low,F,1,1621,0,Courier_1
9670,B,Ship,6,5,271,4,low,M,3,1710,1,Courier_5
9671,C,Ship,4,2,258,5,medium,M,1,1920,0,Courier_2
9672,F,Ship,6,5,245,4,low,F,7,1521,0,Courier_4
9673,D,Ship,6,4,296,4,low,M,7,1969,0,Courier_1
9674,F,Ship,5,3,267,5,low,F,1,1505,0,Courier_3
9675,A,Ship,6,5,268,4,medium,M,2,1462,0,Courier_3
9676,B,Ship,7,2,277,5,low,F,1,1700,1,Courier_4
9677,C,Ship,6,2,259,4,low,M,5,1771,1,Courier_3
9678,F,Ship,5,1,275,5,low,F,3,1062,0,Courier_1
9679,D,Ship,6,5,298,4,low,M,3,1009,1,Courier_1
9680,F,Ship,5,2,243,5,medium,F,4,1013,1,Courier_3
9681,A,Ship,7,3,255,4,medium,F,4,1373,0,Courier_3
9682,B,Ship,4,3,232,5,low,F,9,1856,0,Courier_5
9683,C,Ship,6,5,254,4,medium,M,4,1887,1,Courier_2
9684,F,Ship,4,1,234,5,low,M,3,1134,0,Courier_4
9685,D,Ship,6,1,303,4,low,F,9,1080,0,Courier_1
9686,F,Ship,6,3,262,4,low,F,5,1563,0,Courier_4
9687,A,Ship,5,5,218,5,medium,F,7,1692,0,Courier_5
9688,B,Ship,4,5,241,5,low,M,2,1043,0,Courier_1
9689,C,Ship,6,3,267,4,medium,M,1,1942,1,Courier_5
9690,F,Ship,7,1,301,4,low,F,6,1052,1,Courier_5
9691,D,Ship,5,4,221,5,low,F,8,1927,1,Courier_3
9692,F,Ship,6,5,275,4,low,M,2,1700,1,Courier_4
9693,A,Ship,6,4,292,4,medium,M,5,1793,0,Courier_4
9694,B,Ship,5,4,245,6,medium,M,9,1660,0,Courier_3
9695,C,Ship,6,3,301,5,low,F,2,1452,1,Courier_4
9696,F,Ship,6,3,245,4,medium,M,3,1772,1,Courier_3
9697,D,Ship,7,5,288,4,low,F,1,1269,1,Courier_1
9698,F,Ship,6,3,274,4,low,F,5,1452,0,Courier_5
9699,A,Ship,4,2,231,5,low,F,2,1465,1,Courier_5
9700,B,Ship,6,3,310,5,low,M,6,1139,0,Courier_4
9701,C,Road,5,3,256,6,medium,M,3,1441,0,Courier_2
9702,F,Road,6,5,281,4,medium,M,5,1484,0,Courier_5
9703,D,Road,6,3,264,4,medium,F,3,1498,1,Courier_3
9704,F,Road,7,3,274,5,low,F,9,1764,0,Courier_2
9705,A,Road,5,2,272,5,low,M,8,1317,0,Courier_2
9706,B,Road,4,5,257,5,medium,M,6,1008,0,Courier_5
9707,C,Road,6,3,310,4,low,F,2,1189,0,Courier_5
9708,F,Road,5,2,249,6,low,M,8,1170,1,Courier_5
9709,D,Road,7,5,244,4,low,M,2,1330,1,Courier_3
9710,F,Road,4,3,219,6,medium,F,2,1634,0,Courier_2
9711,A,Road,7,1,264,4,medium,F,2,1540,0,Courier_4
9712,B,Road,4,5,217,5,low,F,3,1572,1,Courier_3
9713,C,Road,6,1,280,4,low,F,5,1624,0,Courier_1
9714,F,Road,4,2,247,5,low,M,10,1515,0,Courier_5
9715,D,Road,3,4,270,6,low,F,7,4098,1,Courier_2
9716,F,Road,4,5,248,3,low,F,2,5310,1,Courier_3
9717,A,Road,4,3,167,2,medium,F,1,5409,1,Courier_1
9718,B,Road,4,5,268,3,medium,M,9,5521,1,Courier_3
9719,C,Road,3,4,257,5,medium,M,10,4901,1,Courier_3
9720,F,Road,5,2,152,3,low,F,4,4770,1,Courier_4
9721,D,Road,4,2,147,3,low,M,3,4152,1,Courier_4
9722,F,Road,3,4,179,2,low,M,5,4882,1,Courier_3
9723,A,Flight,3,4,201,3,medium,M,10,4032,1,Courier_1
9724,B,Flight,3,2,140,3,medium,M,8,5724,0,Courier_2
9725,C,Flight,5,1,139,3,medium,M,2,5632,0,Courier_2
9726,F,Flight,4,1,152,5,medium,M,8,5711,0,Courier_5
9727,D,Flight,6,4,171,5,medium,M,9,4376,1,Courier_5
9728,F,Flight,5,4,97,3,medium,F,8,4577,0,Courier_2
9729,A,Flight,4,2,257,3,medium,M,8,5772,0,Courier_3
9730,B,Flight,4,1,154,4,medium,M,1,5480,0,Courier_3
9731,C,Flight,3,5,138,2,medium,M,1,4881,1,Courier_4
9732,F,Flight,5,5,173,2,low,M,7,4716,0,Courier_4
9733,D,Flight,3,5,252,3,medium,F,8,4557,1,Courier_5
9734,F,Flight,5,2,251,2,low,M,2,4245,1,Courier_2
9735,A,Flight,3,5,223,4,high,F,7,5042,1,Courier_3
9736,B,Flight,5,2,261,3,high,M,3,5303,1,Courier_2
9737,C,Flight,4,2,111,2,high,F,4,5393,0,Courier_1
9738,F,Flight,3,2,210,3,low,F,9,4731,1,Courier_2
9739,D,Flight,4,1,161,3,low,M,1,4789,0,Courier_1
9740,F,Flight,3,4,143,3,low,M,10,5261,0,Courier_4
9741,A,Flight,4,3,170,2,low,M,2,5607,0,Courier_4
9742,B,Flight,2,5,151,3,medium,M,9,4767,1,Courier_5
9743,C,Flight,3,3,154,2,low,M,1,5884,1,Courier_2
9744,F,Flight,4,4,146,3,medium,F,6,4672,1,Courier_2
9745,D,Ship,5,1,238,5,low,F,5,5854,0,Courier_1
9746,F,Ship,4,2,264,2,low,F,9,4490,0,Courier_4
9747,A,Ship,4,5,196,3,low,F,4,5610,0,Courier_1
9748,B,Ship,5,4,164,3,low,M,9,5135,1,Courier_4
9749,C,Ship,4,2,144,4,medium,F,2,4316,0,Courier_1
9750,F,Ship,3,5,147,2,medium,M,6,4350,0,Courier_4
9751,D,Ship,3,4,181,3,high,F,9,5470,0,Courier_1
9752,F,Ship,4,3,212,3,low,F,1,4518,0,Courier_4
9753,A,Ship,2,3,258,2,low,M,4,5052,1,Courier_1
9754,B,Ship,3,5,202,2,medium,F,8,4552,1,Courier_2
9755,C,Ship,4,5,143,3,medium,M,2,5286,1,Courier_5
9756,F,Ship,5,3,175,3,medium,F,7,5047,1,Courier_1
9757,D,Ship,5,1,135,3,low,F,10,5301,1,Courier_5
9758,F,Ship,2,5,249,3,low,F,3,4169,0,Courier_2
9759,A,Ship,4,2,202,3,medium,M,7,5821,0,Courier_2
9760,B,Ship,4,5,135,3,low,F,6,4557,0,Courier_4
9761,C,Ship,3,2,268,4,low,M,6,4415,0,Courier_5
9762,F,Ship,4,3,103,2,low,M,4,5146,0,Courier_3
9763,D,Ship,6,4,225,4,medium,M,10,4723,0,Courier_4
9764,F,Ship,6,5,211,6,low,M,3,4957,0,Courier_5
9765,A,Ship,3,5,161,2,low,F,8,5021,0,Courier_1
9766,B,Ship,4,4,155,2,medium,F,6,5942,0,Courier_1
9767,C,Ship,5,2,182,4,medium,F,9,5159,0,Courier_2
9768,F,Ship,5,5,124,3,low,M,10,4331,0,Courier_3
9769,D,Ship,4,3,167,3,high,F,4,6000,1,Courier_1
9770,F,Ship,4,4,246,3,low,F,7,4090,0,Courier_5
9771,A,Ship,3,2,196,5,medium,F,6,5692,0,Courier_5
9772,B,Ship,3,5,211,2,low,F,5,5877,1,Courier_1
9773,C,Ship,2,1,234,4,medium,F,9,5075,0,Courier_5
9774,F,Ship,3,5,174,6,low,M,6,5713,0,Courier_5
9775,D,Ship,5,4,190,3,medium,F,4,4424,1,Courier_2
9776,F,Ship,4,1,255,3,medium,F,6,4313,1,Courier_3
9777,A,Ship,3,1,192,3,medium,M,4,4997,1,Courier_2
9778,B,Ship,5,2,174,3,low,F,10,5973,1,Courier_3
9779,C,Ship,3,1,263,3,medium,F,4,4208,0,Courier_5
9780,F,Ship,5,5,251,2,high,F,3,4741,1,Courier_3
9781,D,Ship,5,3,223,3,low,F,2,4671,1,Courier_5
9782,F,Ship,3,3,168,2,low,M,1,5097,1,Courier_5
9783,A,Ship,3,4,213,3,high,M,7,5516,1,Courier_2
9784,B,Ship,4,3,99,6,medium,M,9,5903,0,Courier_2
9785,C,Ship,4,4,267,3,medium,M,9,5254,0,Courier_4
9786,F,Ship,5,1,183,3,medium,F,8,4531,0,Courier_1
9787,D,Ship,4,4,180,3,low,M,3,5031,0,Courier_4
9788,F,Ship,2,1,206,2,low,M,7,4721,0,Courier_4
9789,A,Ship,4,2,216,3,low,M,10,4636,0,Courier_3
9790,B,Ship,5,5,167,3,low,M,10,5591,0,Courier_5
9791,C,Ship,3,2,162,3,medium,M,4,4812,1,Courier_5
9792,F,Ship,3,1,250,3,medium,F,6,5832,0,Courier_5
9793,D,Ship,4,2,245,3,medium,M,1,4731,1,Courier_1
9794,F,Ship,3,4,226,3,low,F,7,4411,1,Courier_3
9795,A,Ship,5,1,226,2,medium,M,6,5395,0,Courier_3
9796,B,Ship,5,4,222,2,high,M,8,4996,1,Courier_5
9797,C,Ship,4,1,177,2,low,M,2,5911,0,Courier_4
9798,F,Ship,4,4,223,3,high,F,5,5654,0,Courier_1
9799,D,Ship,5,5,210,6,low,M,3,5051,0,Courier_4
9800,F,Ship,4,2,170,2,low,M,3,4299,0,Courier_2
9801,A,Ship,5,5,135,4,low,M,8,5029,0,Courier_3
9802,B,Ship,3,5,192,4,medium,F,7,4741,1,Courier_3
9803,C,Ship,4,2,204,3,medium,F,3,4001,0,Courier_4
9804,F,Ship,3,4,244,3,medium,M,4,4458,0,Courier_1
9805,D,Ship,3,2,255,4,low,F,8,5511,0,Courier_3
9806,F,Ship,4,5,160,2,medium,F,8,5234,0,Courier_4
9807,A,Ship,4,1,150,2,low,M,5,4133,0,Courier_1
9808,B,Ship,4,2,242,6,medium,F,10,5655,1,Courier_4
9809,C,Ship,4,5,240,6,medium,F,9,5498,1,Courier_1
9810,F,Ship,2,4,246,2,low,M,10,5337,1,Courier_5
9811,D,Ship,3,1,232,2,low,F,3,4562,1,Courier_1
9812,F,Ship,4,3,274,3,low,F,5,4409,0,Courier_2
9813,A,Ship,4,3,253,3,low,F,5,5703,0,Courier_5
9814,B,Ship,5,1,229,4,medium,M,1,4584,1,Courier_4
9815,C,Ship,4,4,131,3,medium,F,10,4625,0,Courier_5
9816,F,Ship,4,3,125,3,low,F,10,5883,0,Courier_5
9817,D,Ship,3,3,201,3,low,F,2,5540,1,Courier_4
9818,F,Ship,4,4,207,3,medium,F,1,4019,0,Courier_4
9819,A,Ship,3,1,144,2,medium,M,8,5378,1,Courier_2
9820,B,Ship,3,5,109,4,medium,F,4,4308,0,Courier_4
9821,C,Ship,4,2,161,2,high,F,8,5654,1,Courier_3
9822,F,Ship,4,2,151,3,medium,M,3,5154,1,Courier_3
9823,D,Ship,3,3,149,4,low,F,2,5282,0,Courier_2
9824,F,Ship,5,5,239,3,low,M,5,4122,0,Courier_1
9825,A,Ship,4,3,287,5,medium,M,6,4376,1,Courier_1
9826,B,Ship,3,3,132,2,medium,F,8,5810,1,Courier_3
9827,C,Ship,5,2,165,5,medium,M,9,5313,0,Courier_4
9828,F,Ship,5,4,143,2,low,M,1,5872,1,Courier_2
9829,D,Ship,4,4,262,3,medium,M,2,5429,0,Courier_1
9830,F,Ship,5,3,201,6,low,F,3,4025,1,Courier_1
9831,A,Ship,4,3,213,4,medium,M,8,4220,0,Courier_5
9832,B,Ship,2,3,269,2,low,M,3,5976,0,Courier_3
9833,C,Ship,6,5,217,4,low,F,2,4073,0,Courier_4
9834,F,Ship,4,3,133,2,low,F,10,4195,0,Courier_2
9835,D,Ship,3,4,248,3,medium,M,7,5299,0,Courier_1
9836,F,Ship,4,3,244,3,low,M,9,5339,0,Courier_5
9837,A,Ship,4,1,197,3,high,M,9,4917,0,Courier_3
9838,B,Road,5,5,268,4,low,F,9,4208,0,Courier_3
9839,C,Road,5,5,203,4,low,M,6,4557,1,Courier_2
9840,F,Road,4,4,224,2,low,F,3,4817,0,Courier_1
9841,D,Road,3,4,212,3,low,M,6,5935,1,Courier_2
9842,F,Road,5,4,208,6,medium,M,8,5098,0,Courier_2
9843,A,Road,4,5,155,3,medium,M,3,5939,1,Courier_5
9844,B,Road,5,4,260,3,low,M,8,4535,0,Courier_3
9845,C,Road,2,2,174,3,low,F,3,5348,0,Courier_4
9846,F,Road,4,1,161,3,medium,M,3,4590,0,Courier_3
9847,D,Road,5,5,246,3,medium,F,7,5167,0,Courier_3
9848,F,Road,5,1,173,4,medium,F,2,4615,0,Courier_5
9849,A,Road,3,2,175,2,low,M,9,4859,0,Courier_4
9850,B,Road,5,1,243,3,medium,F,10,4037,0,Courier_1
9851,C,Road,3,2,122,4,low,F,9,5299,1,Courier_4
9852,F,Road,4,2,219,2,low,F,1,5071,1,Courier_1
9853,D,Road,3,2,217,3,high,M,7,5910,0,Courier_4
9854,F,Road,4,3,250,6,medium,M,2,4246,0,Courier_2
